label,text
Fungal infection,"A rash that appears to be developing throughout my skin has been ensuant my recent binge of intense itching and discomfort. along my skin, I too have some dischromic spots and little stumblebum that look to be look everywhere."
Jaundice,"I've felt rattling scratchy, nauseated, and worn out. unity also had a high_school fever and doomed weight. Both my skin and my urine have turn yellow. I've likewise been experiencing stomach pain."
Impetigo,"I feel I have a skin condition. My face has rashes and little blisters around my nose. The wounds have turned red and painful, and a yellow liquid is oozing from them."
Common Cold,"I've been wheezing a lot and am generally find nauseous and exhausted. My pharynx feels real scratchy, and antiophthalmic_factor parcel_out of gross pig_out is flowing out of my nose. My neck also feels bloated."
urinary tract infection,"I've had low temps and bloody urine for the past four days. My pee smells terrible, and my head hurts like hell. I scarcely have any control over when I urinate, and the urges strike without warning."
allergy,"I get symptom of asthma, such as wheezing and breathing problems. I frequently consume headaches and fever. All the time, iodine feel exhausted."
Fungal infection,"Doctor, My skin is covered in a very uncomfortable rash, along with some odd patches of a different hue. My skin also has a few pimples that resemble little knots"
diabetes,"My pharynx and verbalize are dry. I've also cost getting hungry to_a_greater_extent and more. one do, however, occasionally feel rather exhausted."
Dengue,The vexation I have been experiencing is dangerous and is accompanied by a feeling of pressure In my head. I wealthy_person balmy febricity on with headache. There ar small red spot on my back.
Varicose Veins,"The skin some the veins along my wooden_leg be red, inflamed, and itchy. It is causing angstrom lot of discomforts and I am jump to get regular cramps."
allergy,"I feel queasy, nauseous, and dizzy. I have a swelling throat and am having breathing issues. I occasionally have chest discomfort and nausea at night."
Hypertension,"I have been experiencing symptoms such as a headache, chest pain, dizziness, loss of balance, and difficulty focusing."
urinary tract infection,"Blood is in my pee, and I have a low body temperature. I have practically continual headaches and often strong, uncontrollable need to urinate. In addition, I've started having lower back pain."
Common Cold,"My nose always feels stuffy and congested, and my eyes are always red and itching. I have a feeling of being unwell and fatigued, and I keep hacking up this gunk. I have a scratchy, irritated throat, and I've seen that my neck's bumps are larger than usual."
Acne,"Recently, I've been experiencing a lot of acne breakouts with pimples that contain pus. I've also been struggling with blackheads."
Migraine,"I stimulate represent receive acidity and indigestion later_on meals, as well as frequent vexation and confuse vision."
allergy,"I have breathing problems and become out of breath easily. My eyes ache, I have a dry, hacking cough, and my face and body are bloated."
Migraine,"Indiana tot_up to frequent headaches and blurred vision, increase appetite, a stiff neck, anxiety, irritability, and visual disturbance, I have equal having stomach problems, including indigestion and acidity."
Impetigo,"There be a rash particularly bad around my nose, with bombastic red sore that represent unspeakable and have yellow rust-colored seep amount from them."
Malaria,"I have a high fever, severe itching, chills, and vomiting. In addition, I've cost perspire a mickle and wealthy_person a headache. I've also been rile away sickness and brawn ache."
Jaundice,"I've been itchy and throwing up. In addition, I have lost weight and feel really exhausted. My skin has become yellow and I have a severe temperature. I have abdominal ache and black urine."
Cervical spondylosis,"Back pain, a persistent cough, and numbness in my arms and legs have been bothering me. I've had trouble staying balanced and experiencing dizziness, and my neck hurts."
Varicose Veins,The well inwards my ramification exist have me to have_got difficulty meet into my shoes. I can't dash or place_upright for foresighted periods of time. ane can see or_so swollen blood vessels.
Dengue,The puking I take been experiencing is keep_company by breadbasket cramps and dizziness. I have lost my apetite and feel weak as angstrom_unit result. There is a pain_in_the_neck behind my eyes too.
drug reaction,I have fever and feel very dizzy and lightheaded. My heart is beating very fast and I feel very confused. I am not able to think very clearing and everything feels very foggy
Acne,"A foul rash get just appear along my skin. blackhead and zit packed with ichor are everywhere. Additionally, my skin ingest been extremely sensitive."
gastroesophageal reflux disease,"Even when I don't have anything acidic in my stomach, I constantly have a sour taste in my mouth. I frequently have hiccups and a lump in my throat."
Typhoid,"I've had a high fever, particularly at night. It's been quite unpleasant. There is a little headache, as substantially as constipation and diarrhea. i don't feel like deplete anything."
Dimorphic Hemorrhoids,"Recently, I've been having a dish_out of difficulty using the restroom. My bowel movements deliver been extremely uncomfortable and unmanageable for me to have. Â My anus has been quite inflamed, and my stool get constitute extremely bloody."
Jaundice,"I've been exhausted and experiencing nausea and itching. In addition, I've lost free_weight and have a temperature. My water is dark, and my pelt has turned yellow. Additionally, I've personify having stomach pain."
Dimorphic Hemorrhoids,I've been having a real voiceless time run_low to the bath lately. It's really painful and I'm lonesome able to break_down every few days. There's likewise group_A lot of pain inwards my anus and approximately that area. My shit has cost rattling bloody and my anus find really irritated.
Typhoid,"I am having a lot of trouble sleeping because of the high fever and the headache. Moreover, I have constant belly pain, because of which I can't go to work."
Malaria,"I have a high fever, chills, and severe itching. I have a headache and am also perspiring a lot. I've been bothered by nausea as well as muscle ache."
Cervical spondylosis,"I have constitute dealing with back pain, a cough that won't work away, and weakness inch my blazon and legs. My cervix hurts and I have induce problems with dizziness and preserve my balance."
Varicose Veins,"I have a rash along my wooden_leg that cost giving ME a lot of pain. There seem to comprise a cramp, and I posterior discover visible vena on the calf."
gastroesophageal reflux disease,"I have a sore throat or hoarseness, especially in the morning. I have a chronic nagging pain in my throat and bad breath. I also have frequent belching"
Common Cold,"I'm constantly sneezing, and the cold is making my body tremble. I'm so exhausted that I can hardly move, and my head hurts. My fever is quite high."
gastroesophageal reflux disease,"I have a persistent sour taste in my mouth, even when I haven't eaten anything acidic. I get frequent hiccups and a feeling of lump in my throat."
Hypertension,"While taking a walk, I suddenly started experiencing headache, chest pain, and dizziness after feeling fine all day. Since then, it has been challenging for me to concentrate and focus."
Jaundice,"I've been experiencing intense itchiness, nausea, and exhaustion. I also had a high fever and lost weight. Both my skin and my urine have become yellow. Additionally, my stomach hurts."
Impetigo,"ane take_in rashes around my nose, as well as huge red sores. The foolhardy is spreading to other places along my body, as I've seen. In addition, I have a high temperature every night."
allergy,"I get wheezing and breathing difficulties, which are asthma symptoms. I frequently have headaches and fever. I'm continuously exhausted."
Paralysis,"Paralysis refers to the loss of muscle function in part or all of the body, typically caused by damage to the nervous system"
Malaria,"Strong itchiness, chills, nausea, and a high fever are all part of my electric_current condition. Besides having a headache, I've embody perspiring a lot. I've been irritate past nausea as substantially as muscle ache."
Typhoid,The stomach discomfort has been severe and frequent. Vomiting and constipation have also happened. I'm concerned about my health.
Impetigo,"The sores around my nose are now surrounded by red, inflamed skin. The rash has caused my skin to become dry and flaky, with a visible yellow colored fluid coming out of the sores."
Cervical spondylosis,"Along with a phlegmy cough and muscle weakness, I've embody dealing with excruciating back pain. inward addition to experience woozy and shivering along my feet, my neck have been hurting."
Common Cold,"I've had a horrendous coughing and cold for days. My face make_up fatigue and my sinuses be blocked. In addition, my pectus hurts from the phlegm I've follow coughing up. atomic_number_53 can't smell, and my muscles be inward dire pain."
allergy,"I much sneeze and have a sensitive throat. My sass and the area around my eyes occasionally swell. Once I start sneezing, I just can't stop."
Pneumonia,"I'm scarper a temperature and can't seem to catch my breath. I've been sweating hugely and feeling boilers_suit poorly and weak. I've also cause some thick, black phlegm. My heart get been beating frantically, and my chest hurts."
Chicken pox,"The richly fever, egotistical lymph nodes and headache exist causing me a lot of trouble. I don't feel like eating anything and feel weak and fatigued. It's hard for me to concentrate along my daily life."
Psoriasis,"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling."
Migraine,"I have been experiencing acid reflux and difficulty digesting my food, along with regular headaches and impaired vision"
diabetes,I have a frequent need to urinate and often have these uncontrollable urges. I feel dizzy and often confused. I have also been loss of visuals
Pneumonia,"I'm drip with perspiration and can't seem to catch my breath. My throat is filled with a lot of phlegm, and I feel awful. My heart be pounding, and my chest aches. I'm cough up a stringy, brownish mucous."
Malaria,"Along with my intense scratching, chills, nausea, and high fever, I've also been feeling really unwell. I have a headache and am also perspiring a lot. I've been uncomfortable from nausea and muscle ache, too."
Impetigo,I have embody woe from a gamy fever for the finally couple of days. Sores are developing near my nose. The sores represent painful and I am feeling real uncomfortable these days.
Psoriasis,"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep."
Dimorphic Hemorrhoids,"I've been receive a lot of intestine movement issues recently. It's unmanageable to go, and it hurts when unity do. My anus is quite painful, and IT has constitute bleeding whenever I go. It's agonizingly painful, and I'm quite uneasy."
drug reaction,"My entire body itches, and I have rashes along my indorse and chest. sometimes my skin might make_up dry and flaky, which much results in consistence stains."
drug reaction,"I have rashes inward my chest and back and rub completely over my body. I at_times have flaky skin, which frequently creates markings along my body."
Varicose Veins,"The protuberance in my legs has stimulate unsound over the past_tense few weeks. Now, a large turn of veins equal noticeable on my calves, which comprise make Maine worried."
Cervical spondylosis,"Back pain, a coughing cough, and numbness in my arms and legs have been plaguing me. In addition, my neck hurts, and I've having trouble staying balanced and without getting woozy."
Bronchial Asthma,"Recently, I have had a number of concerning symptoms, including a dry cough, impaired breathing, a high fever, and a lot of mucus. I also feel very weak and tired."
Dimorphic Hemorrhoids,"I've been constipated and it's genuinely severe to disco_biscuit to the bathroom. When I do go, it hurts and my faeces has embody bloody. I've also been having some pain in my butt and my anus has been really fidgety and irritated."
Impetigo,"I developed a tiddler blizzard draw_close my nose a few days ago. Now, the rash is come_with by a burning sensation and redness of the skin. I look it personify some kind of an infection."
Typhoid,"I've also been suffering from diarrhea, which has been really uncomfortable. It comes and goes, and it's accompanied by stomach aches and vomiting."
Fungal infection,"A rash that appears to be developing throughout my skin has been accompanying my recent bouts of intense itching and discomfort. On my skin, I also have some dischromic spots and little lumps that seem to be appearing everywhere."
Malaria,"I've had severe itching, chills, vomiting, and a high fever. I'm also sweating excessively and have a headache. sickness and muscular_tissue pain wealthy_person likewise been do Pine_Tree_State a lot of discomfort."
Chicken pox,I'm genuinely exhausted and lacking in energy. single can hardly keep my eyes open during the day. I have a mild pyrexia and don't feel similar eating anything. I guess I have lost my appetite.
Psoriasis,"I've seen a sudden strip_down of scramble on various regions of my body, mostly my arms, legs, and back. In addition, I get significant reefer pain and bark rashes. The rash constitute circularise to different parts of my body."
diabetes,"I struggle to focus and have emotional swings. At times, my head seems turbid and foggy, making it ambitious for Pine_Tree_State to suffice even simple tasks."
Psoriasis,"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off."
Cervical spondylosis,"In addition to having torment vertebral_column pain, I've also been coughing up mucus and feeling weak all over. I've make_up belief light-headed and precarious on my feet, and my neck hurts as well."
Impetigo,I initially had rashes on my face and near my nose. But now the rash is spreading down my arms and legs.
Common Cold,My eyes have constitute really ruby and my sinuses feel congested. I just don't have any vitality and my pharynx has constitute rattling itchy. I've also noticed my lymph nodes live swollen and I've represent coughing up ampere lot of phlegm.
Hypertension,"Along with a chest pain and dizziness, I've had a headache that seems like a sharp trouble inwards my forehead."
diabetes,"My throat and mouth are dry. I've also been getting hungry more and more. I do, however, occasionally feel rather exhausted."
Common Cold,"I've been feeling awful, with angstrom lot of congestion and a runny nose. I've constitute coughing type_A lot and having a lot of chest pain. My fever throw been really high, and I've been know severe muscular discomfort."
Fungal infection,"I have group_A roseola all over my body, and i can't arrest scratching because my skin is itchy. My skin also has a few spots where the imbue live altered and some lumps and knot-like pimples."
Malaria,"Strong itchiness, chills, nausea, and a high fever are all part of my current condition. Besides having a headache, I've been perspiring a lot. I've been bothered by nausea as well as muscle ache."
Arthritis,"My muscles have been quite weak, and my neck has been really stiff. My joints have swollen, making it difficult for me to walk about without becoming stiff. Walking has also been excruciatingly uncomfortable."
Acne,"When I woke up this morning, I saw a terrible rash on my skin. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been shifting a lot."
Chicken pox,I feel tired every day. There are red spots all over my arms and back and it itches if I touch them. I am really worried and not sure what to do.
Psoriasis,"The rashes on my skin represent not healing. Moreover, I have noticed a sudden flake_off of the skin, especially the scramble on my elbows and knees. iodin am really occupy most this."
Dengue,I have developed rashes on my body that are itchy and. I have lost my appetite and feel very tired all day. I feel something is wrong with my body.
allergy,"I have a runny nose and I am sneezing all the time. My eyes are itchy and often watery, and I am coughing all the time. My head hurts and all the time"
drug reaction,1 receive awful mental clarity and have trouble focusing. I ofttimes bury things and struggle with memory.
Acne,"When 1 inflame up this morning, I see a terrible rash on my skin. Blackheads and pus-filled pimples are all over the place. Additionally, my skin induce been reposition a lot."
peptic ulcer disease,"My appetency and continuing hunger embody both ferocious. My stomach may at_times ache and spasm. I have gas and bloating after eating, which is very painful."
peptic ulcer disease,"I occasionally have burning in my upper abdomen throughout the day or at night. I get heartburn, indigestion, and regular episodes of severe nausea."
Fungal infection,"Doctor, I have these red rashes that keep popping up and my skin is unendingly itching. In addition, I've respect some odd color-different spots on my skin, as well as some picayune nodules on my skin that appear to be expanding."
Arthritis,"Lately, I've been having stiffness and weakness in my neck muscles. Since my joints have matured, it is difficult for the American state to operate without becoming stiff. Furthermore, walking has been quite painful."
Chicken pox,"I'm feeling really sick and uncomfortable like something is wrong inside. I don't know what it could be. I noticed small red spots on my arms, which itches if I touch them."
Pneumonia,"I'm having a lot of trouble breathing and am really uneasy. I'm feeling unwell and am perspiring a lot. My chest hurts and I have a lot of mucus in my throat. My heart is racing, and the hue of the mucus I'm coughing up is off."
urinary tract infection,"I have lower abdominal ache and a bursting sensation when I urinate. Since I began to experience these additional symptoms, I have also been experiencing low body temperatures. I've been weak as a result of this."
Common Cold,"I'm cough nonstop and MA really chilly. My mucus production follow excessive, and my sinus are fully clogged. I can't odor anything, and my chest hurts. My muscles are quite painful as well."
Dimorphic Hemorrhoids,"I've been having difficulty using the restroom. It's been difficult to go, and it aches when I do. My anus is quite painful, and it has been bleeding whenever I go. It's excruciatingly painful, and I'm quite uneasy."
Fungal infection,"My shin has exist real itchy lately, and it once_in_a_while erupts into amp rash. IN addition, I consume a few odd areas of tegument that are type_A different coloration from the rest of me, and occasionally ace develop little bumps that lookÂ likeÂ nodules."
gastroesophageal reflux disease,"My burping and extravasate live frequent. I frequently stimulate chest soreness that spreads to the back of my neck, jaw, and arm. I have pressure and tension inwards my chest."
Impetigo,"The sore along my face are showtime to cry clear fluid. Also, every night I get a high fever and chills, because of which iodine cannot sleep wholly night."
Acne,"I've recently been experiencing a severe skin rash. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been scurring a lot."
Hypothyroidism,"muscle weakness, joint pain, depression, and a hoarse voice."
Common Cold,"I've been quite exhausted and ill. My throat has been quite painful, and I've had a fairly nasty cough. I've got a lot of chills and a pretty high temperature. Simply put, I feel really run down and feeble."
Acne,I awoke this morning to see that I had a horrible rash all over my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
drug reaction,single have hair loss and there cost a significant convert in the grain of my hair. unity have dry_out and fretful sclap and increase dandruff. My struggle is also getting really dry
peptic ulcer disease,"Occasionally throughout the day surgery astatine night, I take_in cauterize in my upper abdomen. ane become indigestion, heartburn, and frequent bout of extreme nausea."
gastroesophageal reflux disease,iodine feel uneasiness after eating and commonly vomit whatever I've eaten. unity always have this pain inwards my abdomen and have really bad acid reflux
AIDS,"Symptoms admit dogged fever, night sweats, and unexplained weight loss."
gastroesophageal reflux disease,"I have a loss of appetite and difficulty swallowing. I often have this persistent feeling of fullness, even after eating small meals. I usually throw up and get heartburn and a tingling sensation in my throat"
Hepatitis D,"include fatigue, nausea, and abdominal pain. Patients may also experience jaundice, dark urine, and clay-colored stools as liver function becomes compromised."
Jaundice,"I've been feeling extremely scratchy, sick, and worn out. indium addition, I've lost weight and have a temperature. My urine is dark, and my scramble has turned yellow. Additionally, I've follow having put_up pain."
Hypertension,"I've been experiencing balance issues, a headache, chest pain, and dizziness. I've also realised that I'm having trouble focusing."
GERD,"Patients may experience disgorgement of food_for_thought or sour liquid into the mouth, especially when lying low-spirited Oregon flex over."
Typhoid,"I am feeling quite weak. I'm having a lot of stomach discomfort and constipation, which is really bothering me. I have a strong urge to vomit at times, and as a result, I can't eat anything."
urinary tract infection,I have been urinating with blood in it. I occasionally feel nervous when urinating. I frequently almost have a fever at the same time.
Acne,I've been noticing amp really nasty rash along my skin lately. It's covered in blackheads and hickey that are carry with pus. My skin has also constitute truly scurrying.
Pneumonia,"I'm sweating profusely and can't seem to get enough air. My throat is filled with a lot of mucus, and I don't feel good. My heart is pounding, and my chest aches. I'm coughing up reddish-colored mucous."
Cervical spondylosis,"Back pain, a productive cough, and muscle weakness have been bothering me. I have issues with dizziness and uneven balance, and my neck hurts."
Bronchial Asthma,"I've had a nagging cough that won't go away, and my breathing has become labored. My fever is also very high, and I'm feeling very weak and tired. I've been producing a lot of mucus when I cough"
Varicose Veins,"Recently, the pain_sensation in my calves has been constant_quantity and becomes sorry when I put_up or walk for long flow of time. My legs have started to swell and likewise some blood watercraft are rather noticeable."
Dengue,"My joints and back pain everyday. I feel like vomitting and this has made me very weak. Because of my body pain, I am not able to focus on my work and donâ€™t feel like doing anything."
Pneumonia,"I've been coughing a lot recently with chest pain and feeling incredibly chilly and exhausted. Additionally, my heart is thumping rapidly, and the phlegm I cough up has a reddish hue."
Varicose Veins,"The prominent veins on my calves are causing self-consciousness and embarrassment. They are swollen and protrude from my skin, making them very noticeable."
Cervical spondylosis,"Back pain, a persistent cough, and numbness Hoosier_State my arms and legs have live bothering me. I've had trouble stay balanced and experiencing dizziness, and my neck hurts."
Hypothyroidism,"muscle weakness, joint pain, depression, and a gruff voice."
Typhoid,"Because of the vomiting and diarrhea, I've been having a lot of difficulties staying hydrated. There is a mild fever, too, as well as stomach pain."
Fungal infection,"I have been experiencing some really acute itching all over my body, on with redness and bumps on my skin. thither are also these weird mend that are different colourize than the rest of my skin, and sometimes ace get these nodules that look like small bumps."
Fungal infection,"Recently, my skin has been quite itchy, and iodine accept a rash all concluded my body. My skin also hour_angle a few spots where the hue is castrate and some lumps and knot-like pimples."
Acne,I woke up this morning to incur a in_truth nasty foolhardy on my skin. There are a short_ton of blackheads and pimple that are filled with pus. My skin has too been really scurrying.
Typhoid,"I've been having angstrom lot of distract staying hydrate because of the vomiting and diarrhea. I have group_A high fever, constipation, and a headache. I am too begin to get a strange bother Hoosier_State my stomach area and I can't do anything physical."
Cervical spondylosis,"I have been suffering from back pain, a inveterate cough, and weakness in my arms and legs. My neck wound and I wealthy_person been feeling dizzy and off balance"
urinary tract infection,I have been having low-down temperatures and bloody pee since some days now. My head wound same crazy and wee-wee also smells very foul. I have almost no control along my peeing and get very sudden urges
Migraine,"As advantageously as with excessive appetite, a tense neck, depression, irritability, and visual disturbance, I've besides been having indigestion, headaches, blurred vision, and acid reflux. These symptoms have been raise_up me and busybodied with my usual activities."
Migraine,"Along with headaches, indigestion, acid reflux, excessive appetite, a sore neck, sadness, impatience, and visual disturbance, I have also been experiencing blurred and distorted vision."
Varicose Veins,The spasm in my calves are making it difficult for me to walk. I feel fatigued after working for some time. I believe obesity be the reason behind this.
Arthritis,"Recently, my sinew birth palpate quite weak, and my neck has live really tight. iodin have conceited joints and find it difficult to proceed most without becoming stiff. IT has likewise been really uncomfortable to walk."
Dengue,The muscle pain I have been experiencing is severe and feels like a constant ache. There are red spots all over my body and the itching is causing me a lot of discomfort.
Arthritis,"My neck have_got been extremely stiff and my musculus have been exceedingly weak. equally a result of swelling in my joints, I detect IT difficult to move some without feeling stiff. Additionally, walking has been extremely uneasy."
Jaundice,"I've been feeling scratchy and throwing up. I suffer lost weight and follow also really exhausted. My hide has suit yellow, and I have deoxyadenosine_monophosphate severe fever. I have abide hurt and black urine."
Typhoid,"I have been receive a mountain of bloating and constipation, and it's been really uncomfortable. IT feels like there's ampere lot of pressure and ail in my belly area."
urinary tract infection,I have been urinating with blood in it. I occasionally feel queasy when urinating. I frequently almost have a fever at the same time.
Common Cold,"I've been sneezing incessantly and I just can't get this chill to go away. I sense so rickety and exhausted, and my cough won't stop. My temperature is really high."
Varicose Veins,The veins in my legs are causing discomfort and difficulty sleeping atomic_number_85 night. I have no_more idea why it is happening. I engender cramps when iodin sprint.
Malaria,"Strong itchiness, chills, nausea, and type_A high temperature take_in comprise plaguing me. Besides having ampere headache, I'm also perspiring a lot. I've been digest from severe muscle pain and nausea."
Cervical spondylosis,"Back pain, a fat cough, and tree_branch helplessness give been bothering me. one experience balance and dizzy concerns, and my neck_opening hurts."
Fungal infection,"There live rashy areas all over my skin, which has been actually irritating. Additionally, single own roughly bumps that cost fairly firm and more_or_less plot that are type_A different coloration from the rest of my skin."
Paralysis,"Paralysis pertain to the loss of muscle function in part or all of the body, typically caused aside damage to the spooky system"
Common Cold,"My eyes are usually red and runny, and my nose is always stuffy. I've also been having difficulty breathing and my chest hurts. In addition, I can't smell anything and my muscles are quite painful."
Fungal infection,"Recently, I've been scratching myself a lot, and my skin is covered with rashy places. Additionally, I've had a few pimples that are rather firm, and there are certain spots on my body that have a different shade of brown than the rest of my skin."
Arthritis,I've constitute feeling rightfully frail in my muscles lately and my neck has constitute unfeignedly solid. IT has been hard for me to move around because my junction have equal swelling. Walking suffer also follow extremely painful.
drug reaction,"My monthly cycle own changed, and I've had Associate_in_Nursing unexpected vaginal discharge. I occasionally lose my temper, and my moods modification a lot."
peptic ulcer disease,"My mouth is filled with a sour, acidic flavour. My burping and belching are frequent. For a few hours, I get pressure or fullness in my upper belly."
Chicken pox,"I am starting to develop tiny red billet all terminated my face and neck area, and IT itches when I touch them. The itching is form my day identical uncomfortable."
urinary tract infection,I have been having low temperatures and bloody pee since some days now. My head hurts like crazy and pee also smells very foul. I have almost no control on my peeing and get very sudden urges
Cervical spondylosis,"My arms and legs have been weak, and I have been suffering from back pain and a persistent cough. In addition to experiencing neck pain and balance issues, I also suffer dizziness."
Dimorphic Hemorrhoids,"My bowel motions exist giving me axerophthol lot of trouble right now. Going is difficult, and going hurts when i do it. When single go, my anus run and make_up really uncomfortable. I'm in angstrom lot of discomfort and IT trauma exceedingly bad."
Fungal infection,"I've been having this really annoying itch all over my body, and I have red and bumpy spots on my skin too. There are also some areas that are a different color than the rest of my skin, and I've had some bumps that look like little balls."
Varicose Veins,"The mineral_vein on my legs are causing adenine lot of discomforts when I sit for long period of time. They are swollen and protruding from my skin, making them painful and noticeable."
Fungal infection,"Doctor, My skin is covered in an uncomfortable rash and has a few odd patches of skin that are a different colour. There are a few pimples on my skin that resemble little knots."
Cervical spondylosis,"Back pain, a hacking cough, and numbness inwards my arms and legs consume been bothering me. In addition, my make_out hurts, and I've having trouble detain balanced and without getting lightheaded."
Psoriasis,The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.
Malaria,"Along with a high fever, I've had chills, vomiting, and severe itching. Besides having a headache, I'm also perspiring a lot. I've been terrible with nausea and muscle ache."
Chicken pox,"I have no energy and have lost my appetite. I'm feeling really sick and don't know what's wrong. Also, there are small red spots starting to show on my skin."
Dengue,"I have been experiencing back pain that is worse when I sit or stand for a long time. Also, there are rashes all over my body. There is a pain behind my eyes too."
peptic ulcer disease,I've been go_through bowel movements that are both constipated and diarrhoeic. I often lack the will to deplete and energy.
Hypertension,"I was in the middle of a workout when I suddenly developed a headache, chest pain, and dizziness. It's been hard for me to maintain my balance since then"
urinary tract infection,"I get frequent urges to urinate at night with little output, and a lot of pain during urination. The urine is coludy and bloody and sometime foul smelling, and I get nauseous"
Dengue,I have developed red spots on my body that are itchy and inflamed. I am also experiencing high fever along with chills and shivering. 
Jaundice,"I have been experiencing itching, vomiting, fatigue, and weight loss. My fever is high and my skin has turned yellow. My urine is dark and I have been experiencing abdominal pain."
gastroesophageal reflux disease,"I frequently have indigestion and heartburn, especially after eating piquant operating_theater fatty foods. My chest hurts when I leaning forrader or while I'm lying down. Additionally, my chest hurts a lot."
Typhoid,"Most of the time I feel fatigued. I don't want to eat anything. I get a high fever and chills every night. Moreover, I have been vomiting since yesterday."
Fungal infection,"I've been having a lot of problems with itching, and it's been accompanied by a rash that seems to be getting worse over time. There are also some patches of skin that are different colors than the rest, and I've noticed some bumps that look like little nodes."
Hypertension,"In addition to a headÂ pain, chest pain, instability, and balance issues, I've already been feeling unwell. I also suppose I'm having issues focusing."
urinary tract infection,"My lower abdomen aches, and it palpate like it may explode when I urinate. Since I began experiencing these new symptoms, my body temperature has equal consistently low. That's wherefore I've been weak."
Acne,"I recently experienced a severe skin rash. Blackheads and zit make_full with pus are clogging it. Additionally, my skin has cost quite irritated."
Acne,My skin has recently been severely rashy. Blackheads and pus-filled pimples have blocked it. My skin has been quite delicate as well.
Typhoid,"I have lost my appetite and have noticed a significant weight loss. I have abdominal pain, especially in the area of my stomach and intestines. I am concerned about my health."
Typhoid,"I have had some constipation and belly pain, which has been really uncomfortable. The pain has been getting worse and it's really affecting my daily life."
Arthritis,I've been feeling truly frail in my muscles recently and my neck has been truly solid. Swollen joints make it difficult for me to move around. Walking has also been difficult.
Impetigo,I have rashes on my face. I am starting to have small sores around my nose and often a yellow fluid comes out of the sores. The sores are becoming extremely painful.
Migraine,"I have been struggling with acid reflux, indigestion, and headaches, as well as blurred and distorted vision, excessive hunger, a sore neck, depression, irritability, and visual disturbance."
drug reaction,"I suffer migraines and headaches, and I've been having put_out falling asleep. My muscles have been trembling and twitching. iodine sometimes feeling dizzy."
Malaria,"I've been experience spartan itching, chills, vomiting, and a high-pitched fever. I'm also sweating antiophthalmic_factor lot and have_got a headache. Nausea and muscle ail accept been causing ME a lot of discomfort."
Chicken pox,"I have little redness spots all over my body that iodine don't understand. It worries me. I stimulate helpless my appetency and every night, atomic_number_53 Master_of_Arts washed-out and sustain a severe headache."
Fungal infection,"I have a lot of itching all over my skin, and sometimes it gets really red and bumpy. There are also some patches that are different colors than the rest of my skin, and sometimes I get these little bumps that look like little balls. It's really annoying and itchy."
Varicose Veins,The rash on my ramification is spread_out and becoming more severe. It has become very hard for me to run.
Hypertension,"While taking amp walk, I suddenly started receive headache, pectus pain, and dizziness later feeling exquisitely altogether day. Since then, IT has been gainsay for me to concentrate and focus."
Impetigo,"iodine have developed skin rashes made up of blistering sores. The blistering sore are raised, fluid-filled wound and they are awful to touch. i am also suffering from a in_high_spirits fever."
Hypertension,"I've follow experiencing vertigo and anxiousness, as well as a loss In my attention and assiduousness and ability to concentrate."
allergy,"I have a sore throat and a lot of sneezing. there are times when the skin around my eyes and my lips swell. ace find that once I start, I just cannot stop."
Migraine,"I have been experiencing acidity, indigestion, headaches, and blurred and distorted vision, as well as excessive hunger, a stiff neck, depression, irritability, and visual disturbance."
Jaundice,"I have been suffering from intense itching, vomiting, fatigue, and weight loss. My fever is high and my skin has turned yellow. My urine is dark and I have been experiencing abdominal pain"
Chicken pox,There are small red spots all over my body. The spots are itchy and uncomfortable. I also have a mild fever and headache.
Hypertension,"I have equal feeling lightheaded and unsteady along my feet, and have also noticed angstrom wane inwards my ability to focus and concentrate."
Acne,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
urinary tract infection,"In the last four days, I've experienced low temperatures and blood in my pee. My head hurts so much and my urine smells awful. The desires to urinate seldom come on cue, and I hardly ever have any control over when they do."
Arthritis,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's been hard to move around. Walking has been really painful.
Acne,I've been accept a really bad rash on my pare lately. It's to_the_full of pus-filled pimples and blackheads. My shin deliver likewise been scurring angstrom lot.
diabetes,I stimulate increased hungriness and frequent urination. I oftentimes have a ironic mouth and throat. Recently i have represent having increased hunger and appetency
Bronchial Asthma,"I've been experiencing difficulty breathing, a chronic cough, and weariness. I've been producing a lot of thick, mucoid sputum while also running a very high temperature. Due to having to cope with all of this, I'm simply feeling extremely worn out and exhausted."
Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them."
Arthritis,I've exist feeling actually weak in my muscles and my make_out give_birth be very stiff. My roast have been swelling upwardly and it's hard for me to make_a_motion around without feeling stiff. Walking has live really painful too.
Varicose Veins,"The prominent veins on my have_young are causing self-consciousness and embarrassment. They are swollen and come_out from my skin, making them real noticeable."
